Country,Year,Gas production,Gas consumption,Gas imports,Gas exports,Gas reserves,Coal production,Coal consumption,Coal imports,Coal exports,Coal reserves,Oil production,Oil consumption,Oil imports,Oil exports,Oil reserves,Gas production per capita,Gas consumption per capita,Gas imports per capita,Gas exports per capita,Gas reserves per capita,Coal production per capita,Coal consumption per capita,Coal imports per capita,Coal exports per capita,Coal reserves per capita,Oil production per capita,Oil consumption per capita,Oil imports per capita,Oil exports per capita,Oil reserves per capita,Population,Gas net imports,Coal net imports,Oil net imports,Gas net imports per capita,Coal net imports per capita,Oil net imports per capita
South Africa,2020,1291500000,4819720000,3528220000,0,0,246500000,168100000,1964000,74910000,9893000,59060,31565800,23069219,519941.94,2385000,21.7754173,81.26319339,59.48777609,0,0,4.156,2.834,0.03312,1.263,0.166801551,0.0009958,0.532217164,0.388960024,0.008766514,0.04021,59310000,3528220000,-72950000,22549277.06,59.48777609,-1.23,0.38019351
Russia,2016,6.16E+11,4.387E+11,15940000000,1.979E+11,4.781E+13,383800000,206000000,22170000,170200000,160400000,612700000,207700000,1244000,295000000,12720000000,4240,3020,109.7,1362,329100,2.642,1.418,0.1526,1.172,1.104,4.218,1.43,0.008565,2.031,87.56,145300000,-1.819E+11,-148000000,-293700000,-1252,-1.019,-2.022
Russia,2017,6.359E+11,4.676E+11,15780000000,2.102E+11,4.781E+13,407900000,208100000,24910000,200500000,160400000,615800000,199000000,1032000,292700000,12720000000,4369,3213,108.5,1445,328500,2.803,1.43,0.1711,1.377,1.102,4.232,1.368,0.007095,2.011,87.4,145500000,-1.945E+11,-175500000,-291700000,-1336,-1.206,-2.004
Russia,2018,6.677E+11,4.908E+11,16380000000,2.271E+11,4.781E+13,432700000,221100000,25220000,212100000,162200000,624700000,201100000,825600,301700000,12720000000,4581,3368,112.4,1558,328100,2.969,1.517,0.1731,1.456,1.113,4.287,1.38,0.005665,2.07,87.28,145700000,-2.107E+11,-186900000,-300900000,-1446,-1.283,-2.065
Russia,2019,6.779E+11,4.795E+11,16110000000,2.563E+11,4.781E+13,437000000,224500000,24260000,221700000,162200000,629900000,214800000,817344,307734000,12720000000,4647,3287,110.5,1757,327800,2.996,1.539,0.1663,1.519,1.112,4.318,1.473,0.005602084,2.109211789,87.2,145900000,-2.402E+11,-197400000,-306916656,-1647,-1.353,-2.103609705
Russia,2020,6.372E+11,4.607E+11,15626700000,2.63989E+11,4.781E+13,401400000,222800000,23950000,219600000,162200000,572900000,196000000,809170.56,313888680,12720000000,4367,3157,107.1055517,1809.383139,327600,2.751,1.527,0.1641,1.504,1.111720356,3.926,1.343,0.005546063,2.151396025,87.16,145900000,-2.48362E+11,-195600000,-313079509.4,-1702.277587,-1.34,-2.145849962
Brazil,2016,23800000000,36600000000,13190000000,517500000,4.711E+11,7005000,25640000,22040000,1547,6596000,145800000,180100000,8968000,49060000,2573000000,115.4,177.5,63.98,2.51,2285,0.03398,0.1244,0.1069,0.000007506,0.03199,0.707,0.8735,0.0435,0.238,12.48,206200000,12670000000,22040000,-40100000,61.47,0.1069,-0.1945
Brazil,2017,26820000000,37320000000,10510000000,134500000,4.3E+11,4819000,25880000,23560000,561,6596000,152200000,182600000,8667000,57870000,2067000000,129,179.6,50.58,0.6473,2069,0.02319,0.1245,0.1134,0.000002699,0.03174,0.7325,0.8787,0.0417,0.2784,9.945,207800000,10380000000,23560000,-49200000,49.93,0.1134,-0.2367
Brazil,2018,24790000000,35560000000,10710000000,80150000,3.774E+11,4838000,25200000,23710000,612.4,6596000,150200000,178400000,10810000,65230000,2009000000,118.4,169.8,51.14,0.3826,1802,0.02309,0.1203,0.1132,0.000002924,0.03149,0.7171,0.8517,0.05162,0.3114,9.59,209500000,10630000000,23710000,-54420000,50.76,0.1132,-0.2598
Brazil,2019,25400000000,35260000000,9725000000,0,3.699E+11,5410000,24240000,21110000,1152,6596000,161900000,182500000,11026200,68491500,2041000000,120.3,167.1,46.08,0,1753,0.02563,0.1149,0.1,0.000005457,0.03125,0.767,0.8646,0.052256872,0.324604265,9.67,211000000,9725000000,21100000,-57465300,46.08,0.1,-0.272347393
